,TEAM_NAME,SEASON,TEAM_ID,PTS_home,_2pointer_PCT_HOME,_3pointer_PCT_HOME,FreeThrow_PCT_HOME,Assists_HOME,Rebounds_HOME,HOME_TEAM_WINS,PTS_away,_2pointer_PCT_AWAY,_3pointer_PCT_AWAY,FreeThrow_PCT_AWAY,Assists_AWAY,Rebounds_AWAY,AWAY_TEAM_WINS
152,Jazz,2006,1610612762,4289.0,0.491,0.347,0.747,1057.0,1769.0,31,4033.0,0.458,0.319,0.741,967.0,1717.0,20
153,Jazz,2007,1610612762,4468.0,0.513,0.406,0.766,1127.0,1682.0,37,4242.0,0.483,0.327,0.754,1038.0,1670.0,17
154,Jazz,2008,1610612762,4305.0,0.486,0.37,0.775,1049.0,1722.0,33,4187.0,0.465,0.318,0.766,975.0,1641.0,15
155,Jazz,2009,1610612762,4412.0,0.513,0.375,0.737,1100.0,1688.0,32,4135.0,0.474,0.326,0.748,1087.0,1772.0,21
156,Jazz,2010,1610612762,4141.0,0.471,0.324,0.781,946.0,1631.0,21,4012.0,0.46,0.345,0.76,975.0,1605.0,18
157,Jazz,2012,1610612762,4111.0,0.471,0.379,0.754,958.0,1742.0,30,3927.0,0.438,0.337,0.764,901.0,1704.0,13
158,Jazz,2013,1610612762,3967.0,0.457,0.346,0.766,789.0,1709.0,16,3824.0,0.432,0.342,0.73,875.0,1672.0,9
159,Jazz,2014,1610612762,3948.0,0.45,0.338,0.714,770.0,1832.0,21,3853.0,0.445,0.35,0.731,862.0,1773.0,17
160,Jazz,2015,1610612762,4041.0,0.456,0.359,0.736,711.0,1811.0,24,3969.0,0.444,0.353,0.754,843.0,1734.0,16
161,Jazz,2016,1610612762,4146.0,0.471,0.387,0.741,813.0,1771.0,29,4112.0,0.463,0.356,0.752,838.0,1774.0,22
162,Jazz,2017,1610612762,4283.0,0.466,0.351,0.774,892.0,1793.0,28,4365.0,0.459,0.382,0.792,965.0,1796.0,19
163,Jazz,2018,1610612762,4618.0,0.468,0.364,0.743,1088.0,1970.0,29,4543.0,0.469,0.345,0.734,1045.0,1831.0,21
164,Kings,2003,1610612758,4334.0,0.474,0.408,0.805,1079.0,1726.0,34,4099.0,0.454,0.395,0.791,1073.0,1654.0,21
165,Kings,2004,1610612758,4381.0,0.475,0.396,0.785,1047.0,1783.0,30,4124.0,0.445,0.348,0.798,958.0,1695.0,20
166,Kings,2005,1610612758,4145.0,0.466,0.355,0.784,930.0,1656.0,27,3961.0,0.445,0.344,0.787,895.0,1669.0,17
167,Kings,2006,1610612758,4251.0,0.463,0.353,0.773,825.0,1622.0,20,4052.0,0.44,0.341,0.76,840.0,1571.0,13
168,Kings,2007,1610612758,4280.0,0.464,0.369,0.804,731.0,1683.0,26,4128.0,0.465,0.379,0.789,836.0,1602.0,12
169,Kings,2008,1610612758,4188.0,0.447,0.358,0.787,793.0,1668.0,11,4060.0,0.45,0.369,0.803,826.0,1538.0,6
170,Kings,2009,1610612758,4244.0,0.464,0.357,0.723,824.0,1778.0,18,3956.0,0.45,0.346,0.722,855.0,1717.0,7
